,chromosome,strand,start,end,length
nogene_chr14_702733_703038,14,-,702733,703038,306
nogene_chr14_707212_707459,14,-,707212,707459,248
nogene_chr14_715786_716581,14,+,715786,716581,796
nogene_chr14_723471_723822,14,+,723471,723822,352
nogene_chr14_724520_725988,14,+,724520,725988,1469
nogene_chr14_726363_726657,14,+,726363,726657,295
nogene_chr14_726883_727539,14,+,726883,727539,657
nogene_chr14_727850_728306,14,+,727850,728306,457
nogene_chr14_731183_733349,14,+,731183,733349,2167
nogene_chr14_736113_736704,14,-,736113,736704,592
nogene_chr14_740015_742119,14,-,740015,742119,2105
nogene_chr14_742332_742696,14,+,742332,742696,365
nogene_chr14_743867_746356,14,+,743867,746356,2490
nogene_chr14_746272_746524,14,-,746272,746524,253
nogene_chr14_747106_747315,14,-,747106,747315,210
nogene_chr14_755238_756778,14,+,755238,756778,1541
nogene_chr14_757575_757983,14,+,757575,757983,409
nogene_chr14_759616_759826,14,+,759616,759826,211
nogene_chr14_763331_763891,14,+,763331,763891,561
nogene_chr14_764681_765358,14,-,764681,765358,678
nogene_chr14_779199_779623,14,-,779199,779623,425
nogene_chr15_2271_3768,15,-,2271,3768,1498
nogene_chr15_3891_5258,15,-,3891,5258,1368
nogene_chr15_5408_7442,15,-,5408,7442,2035
nogene_chr15_7591_7803,15,-,7591,7803,213
nogene_chr15_8274_8499,15,-,8274,8499,226
nogene_chr15_8931_9424,15,-,8931,9424,494
nogene_chr15_15139_15349,15,+,15139,15349,211
nogene_chr15_15802_16870,15,+,15802,16870,1069
nogene_chr15_18204_18728,15,+,18204,18728,525
nogene_chr15_21251_21681,15,+,21251,21681,431
nogene_chr15_21903_22352,15,+,21903,22352,450
nogene_chr15_34439_35535,15,-,34439,35535,1097
nogene_chr15_35953_39568,15,+,35953,39568,3616
nogene_chr15_36599_38528,15,-,36599,38528,1930
nogene_chr15_38836_40230,15,-,38836,40230,1395
nogene_chr15_40671_43278,15,-,40671,43278,2608
nogene_chr15_47906_48231,15,+,47906,48231,326
nogene_chr15_71485_72260,15,-,71485,72260,776
nogene_chr15_73276_73838,15,-,73276,73838,563
nogene_chr15_78795_79052,15,+,78795,79052,258
nogene_chr15_80769_81099,15,-,80769,81099,331
nogene_chr15_81560_82240,15,+,81560,82240,681
nogene_chr15_83230_83489,15,-,83230,83489,260
nogene_chr15_90102_91388,15,+,90102,91388,1287
nogene_chr15_93353_93581,15,+,93353,93581,229
nogene_chr15_100659_101182,15,-,100659,101182,524
nogene_chr15_105787_106162,15,-,105787,106162,376
nogene_chr15_110238_110552,15,-,110238,110552,315
nogene_chr15_123578_123929,15,-,123578,123929,352
nogene_chr15_167506_168372,15,-,167506,168372,867
nogene_chr15_170041_170556,15,-,170041,170556,516
nogene_chr15_193664_193951,15,+,193664,193951,288
nogene_chr15_202134_202347,15,+,202134,202347,214
nogene_chr15_216736_216983,15,+,216736,216983,248
nogene_chr15_219065_220454,15,-,219065,220454,1390
nogene_chr15_225520_226528,15,+,225520,226528,1009
nogene_chr15_226952_228042,15,+,226952,228042,1091
nogene_chr15_232914_233822,15,+,232914,233822,909
nogene_chr15_241619_242775,15,+,241619,242775,1157
nogene_chr15_253152_253584,15,+,253152,253584,433
nogene_chr15_255972_256193,15,-,255972,256193,222
nogene_chr15_264759_264972,15,-,264759,264972,214
nogene_chr15_281722_282332,15,+,281722,282332,611
nogene_chr15_285644_285866,15,-,285644,285866,223
nogene_chr15_311345_312649,15,+,311345,312649,1305
nogene_chr15_313130_313397,15,+,313130,313397,268
nogene_chr15_315309_316311,15,+,315309,316311,1003
nogene_chr15_322221_323357,15,+,322221,323357,1137
nogene_chr15_326110_326353,15,-,326110,326353,244
nogene_chr15_331135_331705,15,-,331135,331705,571
nogene_chr15_332251_332585,15,-,332251,332585,335
nogene_chr15_332849_333285,15,-,332849,333285,437
nogene_chr15_335963_336327,15,+,335963,336327,365
nogene_chr15_336513_337441,15,+,336513,337441,929
nogene_chr15_346435_347011,15,+,346435,347011,577
nogene_chr15_348770_349021,15,+,348770,349021,252
nogene_chr15_348944_349541,15,-,348944,349541,598
nogene_chr15_353810_354015,15,-,353810,354015,206
nogene_chr15_354442_355041,15,+,354442,355041,600
nogene_chr15_356069_357130,15,-,356069,357130,1062
nogene_chr15_363117_363364,15,-,363117,363364,248
nogene_chr15_363706_364012,15,-,363706,364012,307
nogene_chr15_367014_367228,15,-,367014,367228,215
nogene_chr15_367386_367604,15,-,367386,367604,219
nogene_chr15_368558_369311,15,-,368558,369311,754
nogene_chr15_369435_370067,15,-,369435,370067,633
nogene_chr15_371021_371294,15,-,371021,371294,274
nogene_chr15_380240_380592,15,-,380240,380592,353
nogene_chr15_385969_386442,15,-,385969,386442,474
nogene_chr15_394922_395569,15,+,394922,395569,648
nogene_chr15_408982_410008,15,-,408982,410008,1027
nogene_chr15_418209_418769,15,+,418209,418769,561
nogene_chr15_421855_422562,15,-,421855,422562,708
nogene_chr15_422404_424772,15,+,422404,424772,2369
nogene_chr15_426629_426883,15,+,426629,426883,255
nogene_chr15_430993_431200,15,+,430993,431200,208
nogene_chr15_435837_436720,15,+,435837,436720,884
nogene_chr15_436885_437631,15,-,436885,437631,747
nogene_chr15_437403_438501,15,+,437403,438501,1099
nogene_chr15_438682_438882,15,+,438682,438882,201
nogene_chr15_447634_448175,15,-,447634,448175,542
nogene_chr15_448853_449133,15,-,448853,449133,281
nogene_chr15_458218_458610,15,+,458218,458610,393
nogene_chr15_459240_459705,15,+,459240,459705,466
nogene_chr15_478833_479283,15,+,478833,479283,451
nogene_chr15_491234_492947,15,+,491234,492947,1714
nogene_chr15_493375_493631,15,-,493375,493631,257
nogene_chr15_493764_494009,15,-,493764,494009,246
nogene_chr15_496063_496482,15,-,496063,496482,420
nogene_chr15_496625_497028,15,-,496625,497028,404
nogene_chr15_504744_505292,15,+,504744,505292,549
nogene_chr15_507092_507998,15,+,507092,507998,907
nogene_chr15_518173_518701,15,-,518173,518701,529
nogene_chr15_521248_522535,15,-,521248,522535,1288
nogene_chr15_550106_550321,15,+,550106,550321,216
nogene_chr15_571118_571855,15,+,571118,571855,738
nogene_chr15_574385_574678,15,-,574385,574678,294
nogene_chr15_577636_577837,15,-,577636,577837,202
nogene_chr15_578370_579606,15,-,578370,579606,1237
nogene_chr15_584317_585088,15,+,584317,585088,772
nogene_chr15_588078_589060,15,-,588078,589060,983
nogene_chr15_593814_594345,15,-,593814,594345,532
nogene_chr15_594475_594830,15,-,594475,594830,356
nogene_chr15_594594_594805,15,+,594594,594805,212
nogene_chr15_606364_608408,15,-,606364,608408,2045
nogene_chr15_609483_609761,15,+,609483,609761,279
nogene_chr15_617229_617818,15,+,617229,617818,590
nogene_chr15_639235_639764,15,+,639235,639764,530
nogene_chr15_639905_640733,15,+,639905,640733,829
nogene_chr15_648664_649017,15,+,648664,649017,354
nogene_chr15_657965_658339,15,-,657965,658339,375
nogene_chr15_664005_664384,15,-,664005,664384,380
nogene_chr15_664713_664945,15,+,664713,664945,233
nogene_chr15_667862_670605,15,+,667862,670605,2744
nogene_chr15_672742_673516,15,+,672742,673516,775
nogene_chr15_680440_680931,15,-,680440,680931,492
nogene_chr15_681111_682212,15,+,681111,682212,1102
nogene_chr15_682492_682961,15,+,682492,682961,470
nogene_chr15_685085_685422,15,-,685085,685422,338
nogene_chr15_690006_690393,15,-,690006,690393,388
nogene_chr15_690642_692067,15,-,690642,692067,1426
nogene_chr15_699215_701225,15,+,699215,701225,2011
nogene_chr15_701664_703856,15,+,701664,703856,2193
nogene_chr15_722256_722540,15,-,722256,722540,285
nogene_chr15_758985_759497,15,-,758985,759497,513
nogene_chr15_768965_769408,15,-,768965,769408,444
nogene_chr15_770868_772082,15,-,770868,772082,1215
nogene_chr15_775228_775468,15,-,775228,775468,241
nogene_chr15_780322_780537,15,-,780322,780537,216
nogene_chr15_780778_781437,15,-,780778,781437,660
nogene_chr15_783640_783890,15,-,783640,783890,251
nogene_chr15_784072_784544,15,-,784072,784544,473
nogene_chr15_797036_798265,15,-,797036,798265,1230
nogene_chr15_803901_804722,15,-,803901,804722,822
nogene_chr15_817563_817946,15,-,817563,817946,384
nogene_chr15_820979_821236,15,-,820979,821236,258
nogene_chr15_824584_824872,15,+,824584,824872,289
nogene_chr15_837580_838042,15,-,837580,838042,463
nogene_chr15_844774_845463,15,+,844774,845463,690
nogene_chr15_848930_849577,15,-,848930,849577,648
nogene_chr15_854507_855196,15,+,854507,855196,690
nogene_chr15_867583_867842,15,-,867583,867842,260
nogene_chr15_868693_869505,15,-,868693,869505,813
nogene_chr15_880294_880560,15,-,880294,880560,267
nogene_chr15_881080_881934,15,-,881080,881934,855
nogene_chr15_892130_892380,15,+,892130,892380,251
nogene_chr15_896807_897069,15,+,896807,897069,263
nogene_chr15_898661_899003,15,+,898661,899003,343
nogene_chr15_908747_908989,15,-,908747,908989,243
nogene_chr15_909273_909552,15,-,909273,909552,280
nogene_chr15_915312_915523,15,-,915312,915523,212
nogene_chr15_953616_953946,15,-,953616,953946,331
nogene_chr15_958463_959188,15,+,958463,959188,726
nogene_chr15_968451_970286,15,+,968451,970286,1836
nogene_chr15_969124_970285,15,-,969124,970285,1162
nogene_chr15_973737_974081,15,+,973737,974081,345
nogene_chr15_976176_976709,15,+,976176,976709,534
nogene_chr15_978478_980255,15,+,978478,980255,1778
nogene_chr15_980699_981140,15,+,980699,981140,442
nogene_chr15_980913_981368,15,-,980913,981368,456
nogene_chr15_988670_989029,15,+,988670,989029,360
nogene_chr15_995196_996605,15,+,995196,996605,1410
nogene_chr15_1001148_1001426,15,+,1001148,1001426,279
nogene_chr15_1003364_1004155,15,-,1003364,1004155,792
nogene_chr15_1010406_1010620,15,-,1010406,1010620,215
nogene_chr15_1019046_1019972,15,+,1019046,1019972,927
nogene_chr15_1025828_1026129,15,-,1025828,1026129,302
nogene_chr15_1031650_1032085,15,+,1031650,1032085,436
nogene_chr15_1038731_1038965,15,-,1038731,1038965,235
nogene_chr15_1039684_1039888,15,-,1039684,1039888,205
nogene_chr15_1040120_1040533,15,-,1040120,1040533,414
nogene_chr15_1045169_1045910,15,-,1045169,1045910,742
nogene_chr15_1054291_1054854,15,-,1054291,1054854,564
nogene_chr15_1074080_1074457,15,-,1074080,1074457,378
nogene_chr16_17097_17985,16,-,17097,17985,889
nogene_chr16_19416_21848,16,-,19416,21848,2433
nogene_chr16_21599_21931,16,+,21599,21931,333
nogene_chr16_22016_22318,16,-,22016,22318,303
nogene_chr16_23713_24608,16,-,23713,24608,896
nogene_chr16_37390_37639,16,-,37390,37639,250
nogene_chr16_46724_47097,16,-,46724,47097,374
nogene_chr16_53000_53462,16,+,53000,53462,463
nogene_chr16_55748_56078,16,+,55748,56078,331
nogene_chr16_62662_63017,16,-,62662,63017,356
nogene_chr16_63391_64437,16,-,63391,64437,1047
nogene_chr16_76744_82602,16,+,76744,82602,5859
nogene_chr16_84536_84958,16,+,84536,84958,423
nogene_chr16_90718_91285,16,+,90718,91285,568
nogene_chr16_95488_96645,16,+,95488,96645,1158
nogene_chr16_97811_98090,16,+,97811,98090,280
nogene_chr16_105600_105843,16,-,105600,105843,244
nogene_chr16_107807_108154,16,-,107807,108154,348
nogene_chr16_114313_114819,16,-,114313,114819,507
nogene_chr16_114941_116109,16,-,114941,116109,1169
nogene_chr16_128335_129866,16,+,128335,129866,1532
nogene_chr16_134830_135381,16,-,134830,135381,552
nogene_chr16_144233_147039,16,-,144233,147039,2807
nogene_chr16_162652_163201,16,+,162652,163201,550
nogene_chr16_169637_170248,16,+,169637,170248,612
nogene_chr16_175503_175885,16,-,175503,175885,383
nogene_chr16_183784_184375,16,+,183784,184375,592
nogene_chr16_187387_187598,16,+,187387,187598,212
nogene_chr16_188160_188487,16,+,188160,188487,328
nogene_chr16_190785_191087,16,-,190785,191087,303
nogene_chr16_204630_204869,16,-,204630,204869,240
nogene_chr16_207195_207570,16,-,207195,207570,376
nogene_chr16_209955_210177,16,-,209955,210177,223
nogene_chr16_210542_211034,16,-,210542,211034,493
nogene_chr16_210913_211565,16,+,210913,211565,653
nogene_chr16_215099_215539,16,-,215099,215539,441
nogene_chr16_215271_215598,16,+,215271,215598,328
nogene_chr16_215732_215992,16,+,215732,215992,261
nogene_chr16_218532_218922,16,-,218532,218922,391
nogene_chr16_226170_226382,16,+,226170,226382,213
nogene_chr16_239434_239946,16,+,239434,239946,513
nogene_chr16_243158_244305,16,+,243158,244305,1148
nogene_chr16_252197_252519,16,+,252197,252519,323
nogene_chr16_252711_252990,16,+,252711,252990,280
nogene_chr16_253852_254529,16,+,253852,254529,678
nogene_chr16_259737_260344,16,+,259737,260344,608
nogene_chr16_270466_270880,16,-,270466,270880,415
nogene_chr16_280700_281442,16,-,280700,281442,743
nogene_chr16_286668_287380,16,+,286668,287380,713
nogene_chr16_303077_303538,16,-,303077,303538,462
nogene_chr16_303725_303984,16,-,303725,303984,260
nogene_chr16_308641_309232,16,+,308641,309232,592
nogene_chr16_339996_340334,16,-,339996,340334,339
nogene_chr16_345109_345960,16,+,345109,345960,852
nogene_chr16_347520_348243,16,-,347520,348243,724
nogene_chr16_348411_348748,16,-,348411,348748,338
nogene_chr16_352594_353081,16,+,352594,353081,488
nogene_chr16_368795_369599,16,+,368795,369599,805
nogene_chr16_372439_373357,16,-,372439,373357,919
nogene_chr16_393125_393622,16,-,393125,393622,498
nogene_chr16_409137_409422,16,+,409137,409422,286
nogene_chr16_410613_410977,16,-,410613,410977,365
nogene_chr16_425978_426499,16,-,425978,426499,522
nogene_chr16_431102_431560,16,-,431102,431560,459
nogene_chr16_433762_434239,16,-,433762,434239,478
nogene_chr16_436262_436887,16,-,436262,436887,626
nogene_chr16_443058_443356,16,+,443058,443356,299
nogene_chr16_443127_444180,16,-,443127,444180,1054
nogene_chr16_443978_444352,16,+,443978,444352,375
nogene_chr16_451620_451830,16,+,451620,451830,211
nogene_chr16_453425_454686,16,+,453425,454686,1262
nogene_chr16_455202_455426,16,+,455202,455426,225
nogene_chr16_456049_456491,16,-,456049,456491,443
nogene_chr16_459188_459671,16,-,459188,459671,484
nogene_chr16_462239_462675,16,+,462239,462675,437
nogene_chr16_475225_475468,16,+,475225,475468,244
nogene_chr16_485345_486003,16,-,485345,486003,659
nogene_chr16_491945_493058,16,+,491945,493058,1114
nogene_chr16_503413_503909,16,-,503413,503909,497
nogene_chr16_544058_544349,16,+,544058,544349,292
nogene_chr16_553587_554059,16,+,553587,554059,473
nogene_chr16_556316_557707,16,-,556316,557707,1392
nogene_chr16_565364_565742,16,+,565364,565742,379
nogene_chr16_566480_566766,16,+,566480,566766,287
nogene_chr16_567333_569184,16,+,567333,569184,1852
nogene_chr16_574552_574985,16,-,574552,574985,434
nogene_chr16_581610_581956,16,+,581610,581956,347
nogene_chr16_582095_582575,16,+,582095,582575,481
nogene_chr16_583107_583630,16,+,583107,583630,524
nogene_chr16_586530_588233,16,+,586530,588233,1704
nogene_chr16_587704_588104,16,-,587704,588104,401
nogene_chr16_588533_589032,16,+,588533,589032,500
nogene_chr16_588664_589524,16,-,588664,589524,861
nogene_chr16_590680_590886,16,+,590680,590886,207
nogene_chr16_607566_608800,16,+,607566,608800,1235
nogene_chr16_614898_615205,16,+,614898,615205,308
nogene_chr16_615211_615762,16,-,615211,615762,552
nogene_chr16_619607_619825,16,-,619607,619825,219
nogene_chr16_620178_621491,16,+,620178,621491,1314
nogene_chr16_621673_622219,16,-,621673,622219,547
nogene_chr16_622821_623105,16,-,622821,623105,285
nogene_chr16_628049_629038,16,-,628049,629038,990
nogene_chr16_630310_631132,16,-,630310,631132,823
nogene_chr16_643735_645006,16,-,643735,645006,1272
nogene_chr16_647907_648250,16,-,647907,648250,344
nogene_chr16_671700_672116,16,-,671700,672116,417
nogene_chr16_672339_672764,16,-,672339,672764,426
nogene_chr16_675963_676229,16,+,675963,676229,267
nogene_chr16_678929_679227,16,-,678929,679227,299
nogene_chr16_680326_680580,16,-,680326,680580,255
nogene_chr16_680993_681817,16,-,680993,681817,825
nogene_chr16_684032_684461,16,+,684032,684461,430
nogene_chr16_689612_689826,16,+,689612,689826,215
nogene_chr16_690994_691373,16,-,690994,691373,380
nogene_chr16_697338_698463,16,+,697338,698463,1126
nogene_chr16_704108_704496,16,+,704108,704496,389
nogene_chr16_719638_719869,16,+,719638,719869,232
nogene_chr16_729043_729477,16,+,729043,729477,435
nogene_chr16_752764_753048,16,-,752764,753048,285
nogene_chr16_753239_754309,16,-,753239,754309,1071
nogene_chr16_766760_767400,16,-,766760,767400,641
nogene_chr16_769437_770212,16,+,769437,770212,776
nogene_chr16_769709_770501,16,-,769709,770501,793
nogene_chr16_775902_776832,16,-,775902,776832,931
nogene_chr16_775917_776355,16,+,775917,776355,439
nogene_chr16_780352_781658,16,-,780352,781658,1307
nogene_chr16_780808_781587,16,+,780808,781587,780
nogene_chr16_783142_785328,16,-,783142,785328,2187
nogene_chr16_786813_787467,16,-,786813,787467,655
nogene_chr16_789964_790450,16,-,789964,790450,487
nogene_chr16_797711_798935,16,-,797711,798935,1225
nogene_chr16_799681_800187,16,-,799681,800187,507
nogene_chr16_801518_801858,16,-,801518,801858,341
nogene_chr16_804204_804590,16,-,804204,804590,387
nogene_chr16_810510_813711,16,+,810510,813711,3202
nogene_chr16_821677_822131,16,+,821677,822131,455
nogene_chr16_825452_825673,16,+,825452,825673,222
nogene_chr16_828339_829625,16,-,828339,829625,1287
nogene_chr16_829779_830541,16,-,829779,830541,763
nogene_chr16_833177_833490,16,+,833177,833490,314
nogene_chr16_833600_834182,16,-,833600,834182,583
nogene_chr16_843915_844419,16,-,843915,844419,505
nogene_chr16_850281_850567,16,+,850281,850567,287
nogene_chr16_850286_850577,16,-,850286,850577,292
nogene_chr16_860420_860668,16,+,860420,860668,249
nogene_chr16_864290_864898,16,+,864290,864898,609
nogene_chr16_866818_867128,16,+,866818,867128,311
nogene_chr16_874524_874772,16,-,874524,874772,249
nogene_chr16_876434_877138,16,+,876434,877138,705
nogene_chr16_878123_878390,16,-,878123,878390,268
nogene_chr16_880501_881004,16,+,880501,881004,504
nogene_chr16_881491_882874,16,-,881491,882874,1384
nogene_chr16_883764_884048,16,-,883764,884048,285
nogene_chr16_900044_900421,16,-,900044,900421,378
nogene_chr16_930038_930990,16,-,930038,930990,953
nogene_chr16_937119_939102,16,+,937119,939102,1984
nogene_chr16_939252_939539,16,+,939252,939539,288
